step,time_s,note,R1,R2,R3,R4,R5,R6,R7,R8
38,4.995,state after change,BBBBBMDBBMBDBDMB,MMBBBMBBBMDDBBMD,BBBBB_DBBDDDBBDB,BBBBB_BBBDDBBBDB,BBBBB_BBB_BBBB_B,BBBBBBBBBDBBBBDB,BMMMBBBBBDBBBBDB,________________
39,5.062,state after change,BBBBBMDBBMBDBDMB,MMBBBMBBBMBDBBMD,BBBBB_DBBDDDBBDB,BBBBB_BBBDBBBBDB,BBBBBDBBB_BBBB_B,BBBBBBBBBDBBBB_B,BMMMBBBBBDBBBBDB,________________
40,5.13,state after change,BBBBBMDBBMBDBDMB,MMBBBMBBBMBDBBMM,BBBBB_DBBDDDBBDB,BBBBB_BBBDBBBBDB,BBBBBDBBB_BBBB_B,BBMMMBBBBDBBBBDB,BMMMMBBBBDBBBBDB,________________
41,5.197,state after change,BBBBBMBBBMBDBDMB,MMBBBMBBBMBDBBMM,BBBBB_DBBDDDBBDB,BBBBB_BBBDBBBBDB,BBMBBDBBB_BBBB_B,BBMMMBBBBDBBBBDB,BMMMMBMMMDBMBBDM,________________
42,5.265,state after change,BBBMBMBBBMBBBBMB,MMBBBMBBBMBDBBMD,BBBBB_DBBDBDBBDB,BBMBB_BBBDBBBBDB,BBMMMDBBBDBBBB_B,BBMMMBMBBDBBBBDB,BBMMMBMMMDMMMBDM,________________
43,5.4,state after change,BBBMBMBBBMBBBBMB,MMBBBMBBBMBDBBMD,BBBBB_BBBDBDBBDB,BBMMB_BBBDBBBBDB,BBMMMDBBBDBBBBDB,BBMMMBMMBDBBBBDM,MBMMMBMMMDMMMDDM,________________
44,5.535,state after change,BBBMBMBBBMBBBBMB,MMBBBMBBBMBDBBMD,BBBBB_BBBDBBBBDB,BBMMM_BBBDBBBBDB,BBMMMDBBBDBBBB_B,BBMMMBMMMDMMBBDM,MBMMMBMMMDMMMDDM,________________
45,5.602,state after change,BBBMBMBBBMBBBBMD,MMBBBMBBBMBDBBMD,BBBBB_BBBDBBBBDB,BBMMM_BBBDBBBBDB,BBMMMDBBBDBBBB_B,BBMMMBMMMDMMBBDM,MBMMMBMMMDMMMDDM,________________
46,5.67,state after change,BBBMBMBBBMBDBBMD,MMBBBMBBBMBDBBMD,BBBBB_BBBDBBBBDB,BBMBB_BBBDBBBBDB,BBMMMDBBBDBBBB_B,BBMMMBMMMDBMBBDM,MBMMMBMMMDMMMDDM,________________
47,5.805,state after change,BBBMBMBBBMBDBBMD,MMBBBMBBBMBDBBMD,BBBBB_DBBDBDBBDB,BBMBB_BBBDBBBBDB,BBMMMDBBBDBBBB_B,BBMMMBMBBDBMBBDB,BBMMMBMMMDMMMBDM,________________
