step,time_s,note,R1,R2,R3,R4,R5,R6,R7,R8
117,11.745,state after change,BBBBBMDBDMDDDDB_,BBBBD_DDDMD_DDB_,BBBBBM_DDDD_DDMD,MMBBBMDDDMDDDDMD,BBBBB_DDD_DDDD_D,BBBBBDBDD_DDDD_B,BBBBBDBBBDBBBD_B,________________
118,11.812,state after change,BBBBBMDBDMDDDDB_,BBBBD_DDDMD_DDM_,BBBBBM_DDD__DDMD,MMBBBMDDDMDDDDMD,BBBBB_DDD_DDDD_D,BBBBBDBDD_DDDD_D,BBBBBDBBBDBBBD_B,________________
119,11.88,state after change,BBBBBMDBDMDDDDB_,BBBBD_DDDMD_DDM_,BBBBBM_DD___DDMD,MMBBBMDDDMDDDDMD,BBBBB_DDD_DDDD_D,BBBBBDBDD_DDDD_D,BBBBBDBBBDBBBD_B,________________
120,11.947,state after change,BBBBBMDBDMDDDDB_,BBBBD_DDDMD_DDB_,BBBBBM_DD___DDMD,MMBBBMDDDMDDDDMD,BBBBB_DDD_DDDD_D,BBBBBDBDD_DDDD_D,BBBBBDBBB_BBBB_B,________________
121,12.015,state after change,BBBBBMDBDMDDDDB_,BBBBD_DDDMD_DDB_,BBBBBM_DD___DDM_,MMBBBMDDDMDDDDMD,BBBBB_DDD_DDDD_D,BBBBBDBDD_DDDD_D,BBBBBDBBB_BBBB_B,________________
122,12.082,state after change,BBBBBMDBDMDDDDB_,BBBBD_DDDMD_DDB_,BBBBBM_DD___DDM_,MMBBBMDDDMDDDDMD,BBBBB_DDD_DDDD_D,BBBBBDBDD_DDDD_D,BBBBBDBBB_DBBB_B,________________
123,12.15,state after change,BBBBBMDBDMDDDDB_,BBBBD_DDDMD_DDB_,BBBBBM_DD___DDM_,MMBBBMDDDMDDDDMD,BBBBB_DDD_DDDD_D,BBBBBDBDD_DDDD_D,BBBBBDBDD_DBDB_B,________________
124,12.285,state after change,BBBBBMDBDMDDD___,BBBBD_DDD___DDB_,DBBBBM_DD___DDMD,BBBBBMDDDMDDDDDD,MMBBB_DDD_DDDD_D,BBBBBDBDD_DDDD_D,BBBBBDBDD_DBDB_B,________________
125,12.42,state after change,BBBBBMDBDMDDD___,BBBBD_DDD___DDB_,DBBBBM_DD___DDMD,BBBBBMDDDMDDDDDD,MMBBB_DDD_DDDD_D,BBBBBDBDD_DDDD_D,BBBBBDBDD_DBBB_B,________________
126,12.487,state after change,BBBBBMDBDMDDD___,DBBBD_DDD___DDB_,DBBBBM_DD___DDMD,BBBBBMDDDMDDDDDD,MMBBB_DDD_DDDD_D,BBBBBDBDD_DDDD_D,BBBBBDBDD_BBBB_B,________________
127,12.622,state after change,BBBBBMDBDMDDD___,BBBBD_DDD_D_DDB_,DBBBBM_DD_D_DDMD,BBBBBMDDDMDDDDDD,MMBBB_DDD_DDDD_D,BBBBBDBDD_DDDD_B,BBBBBDBDD_BBBB_B,________________
128,12.69,state after change,BBBBBMDBDMDDD___,BBBBD_DDD_DDDDB_,DBBBBM_DD_D_DDMD,BBBBBMDDDMDDDDDD,MMBBB_DDD_DDDD_D,BBBBBDBDD_DDDD_B,BBBBBDBBD_BBBB_B,________________
129,12.757,state after change,BBBBBMDBDBDDD___,BBBBD_DDD_DDDDB_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBB_DDD_DDDD_D,BBBBBDBDD_DDDD_B,BBBBBDBBD_BBBB_B,________________
130,12.825,state after change,BBBBBMDBDMDDD___,BBBBD_DDD_DDDDB_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBB_DDD_DDDD_D,BBBBBDBDD_DDDD_B,BBBBBDBDD_BBBB_B,________________
131,12.892,state after change,BBBBBMDBDMDDD___,BBBBD_DDD_DDDDB_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBB_DDD_DDDD_D,BBBBBDBDD_DDDD_B,BBBBBDBBD_BBBBDB,________________
132,12.96,state after change,BBBBBMDBDMDDD___,BBBBD_DDD_DDDDB_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBB_DDD_DDDD_D,BBBBBDBDD_DDDB_B,BBBBBDBBD_BBBBDB,________________
133,13.027,state after change,BBBBBMDBDMDDD___,BBBBD_DDD_DDDDB_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBB_DDD_DDDD_D,BBBBBDBDD_DBBB_B,BBBBBDBBB_BBBBDB,________________
134,13.095,state after change,BBBBBMDBDMDDD___,BBBBD_DDD_DDDDB_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBB_DDD_DDDD_D,BBBBBDBDD_DBBB_B,BBBBBDBBBDBBBBDB,________________
135,13.162,state after change,BBBBBMDBDMDDDD__,BBBBD_DDDDDDDDM_,DBBBBMDDD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBB_DDD_DDDD_B,BBBBBDBDD_DBBB_B,BBBBBDBBBDBBBBDB,________________
136,13.23,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDDDDDDDM_,DBBBBMDDD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBB_DDD_DDDD_B,BBBBBDBDD_DBBB_B,BBBBBDBBBDBBBBDB,________________
137,13.297,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDDDDDDDM_,DBBBBMDDD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDBMDDBBBB,BBBBBDBBDDBBBBDB,BBBBBDBBBDBBBBDB,________________
138,13.365,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDDDDDDDM_,DBBBBMDDD_DDDBMD,BBBBBMDDDMDDDDDD,MMMBBMDDBMDDBBBB,BBBBBDBDDDBBBBDB,BBBBBDBBBDBBBBDB,________________
139,13.432,state after change,BBBBBMDBDMDDDD__,BBBBD_DDDDDDDDM_,DBBBBMDDD_DDDBMD,BBBBBMDDDMDDDDDD,MMMBBMDDBMDDBBBB,BBBBBDBBBDBBBBDB,BBBBBDBBBDBBBDDB,________________
140,13.5,state after change,BBBBBMDBDMDDDD__,BBBBD_DDDDDDDDM_,DBBBBMDDD_DDDBMD,BBBBBMDDDMDDDBDD,MMBMBMDDBMDDBBBB,BBBBBDBDBDBBBBDB,BBBBBDBBBDBBBDDB,________________
141,13.567,state after change,BBBBBMDBDMDDDD__,BBBBD_DDDDDDDDB_,DBBBBMDDD_DDDBMD,BBBBBMDDDMDDDDDD,MMBBMMDDBMDDBBBB,BBBBBDBBBDBBBBDB,BBBBBDBBBDBBBDDB,________________
142,13.635,state after change,BBBBBMDBDMDDDD__,BBBBD_DDDDDDDDB_,DBBBBMDDD_DDDBMD,BBBBBMDDDMDDDDDD,MMBBMMDDBMDDBBBB,BBBBBDBDBDBBBBDB,BBBBBDBBBDBBBDDB,________________
143,13.702,state after change,BBBBBMDBDMDDDD__,BBBBD_DDDDDDDDM_,DBBBBMDDD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMBDBMDDBBBB,BBBBBDBDDDBBBBDB,BBBBBDBBBDBBBDDB,________________
144,13.77,state after change,BBBBBMDBDMDDDD__,BBBBD_DDDDDDDDM_,DBBBBMDDD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMMDBMDDBBBB,BBBBBDBDDDBBBB_B,BBBBBDBBBDBBBDDB,________________
145,13.837,state after change,BBBBBMDBDMDDDD__,BBBBD_DDDDDDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMMMBMDDBBBD,BBBBBDBDDDDBBB_B,BBBBBDBBBDBBBD_B,________________
146,13.905,state after change,BBBBBMDBDMDDDD__,BBBBD_DDDDDDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDMBMDDBBBD,BBBBBDBDDDDBBB_B,BBBBBDBBBDBBBD_B,________________
147,13.972,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDDDDDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDMMDDDBMD,BBBBBDBDDDDDBB_B,BBBBBDBBBDBBBD_B,________________
148,14.04,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDDDDDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDMMDDDBMD,BBBBBDBDDDDDDB_B,BBBBBDBBBDBBBD_B,________________
149,14.175,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDD_DDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDDMMDDBBD,BBBBBDBDDDDDDB_B,BBBBBDBDD_BBBD_B,________________
150,14.242,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDD_DDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDDMMMDBBD,BBBBBDBDDDDDDB_B,BBBBBDBDD_BBBD_B,________________
151,14.31,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDD_DDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDDMDMDBBD,BBBBBDBDDDDDDB_B,BBBBBDBDD_BBBD_B,________________
152,14.377,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDD_DDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDDMDMMBBD,BBBBBDBDDDDDDB_B,BBBBBDBDD_BBBD_B,________________
153,14.445,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDD_DDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDDMDDMMBD,BBBBBDBDDDDDBB_B,BBBBBDBBD_BBBD_B,________________
154,14.512,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDD_DDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDDMDDBBMD,BBBBBDBDDDDDDBDB,BBBBBDBDB_BBBD_B,________________
155,14.58,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDD_DDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDDMDDDBMM,BBBBBDBDDDDDDD_B,BBBBBDBDB_BBBD_B,________________
156,14.647,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDD_DDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDDMDDDBBM,BBBBBDBDDDDDDD_B,BBBBBDBBBDBBBD_B,________________
157,14.715,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDDDDDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDBMDDDBBD,BBBBBDBDDDDDDD_B,BBBBBDBBBDBBBD_B,________________
158,14.782,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDD_DDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDBMDDDBBD,BBBBBDBDDDDDDD_B,BBBBBDBBBDBBB__B,________________
159,14.917,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDD_DDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDBMDDDBBD,BBBBBDBDDDDBDD_B,BBBBBDBBBDBBB__B,________________
160,14.985,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBMDDD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDBMDDDBBD,BBBBBDBDDDDBDD_B,BBBBBDBBBDBBB__B,________________
161,15.12,state after change,BBBBBMDBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDBMDDDBMD,BBBBBDBDDDDDDD_B,BBBBBDBBBDBBB__B,________________
162,15.187,state after change,BBBBBMDBDMDDDD_D,DBBBD_DDD_DDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDDMDDDBBD,BBBBBDBDDDDDDD_D,BBBBBDBBB_BBBD_B,________________
163,15.255,state after change,DBBBBMDBDMDDDD_D,DBBBD_DDD_DDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDDMDDDDMD,BBBBBDBDDDDDDD_D,BBBBBDBDB_DBBD_B,________________
164,15.322,state after change,DBBBBMDBDMDDDD_D,DBBBD_DDD_DDDDM_,DBBBBM_DD_DDDDMD,BBBBBMDDDMDDDDDD,MMBBBMDDDMDDDDMD,BBBBBDBDD_DDDD_D,BBBBBDBDD_DDDD_D,________________
165,15.39,state after change,DBBBBBDBDMDDD__D,DBBBD_DDD_D_DDM_,DBBBBM_DD___DDMD,DDBBBMDDD_DDDDDD,DBBBBMDDDMDDDDMD,BBBBBDBDD_DDDBMD,BBBBBDDDD_DDDBDD,________________
166,15.457,state after change,DBBBB__BDMDDD__D,DBBBD__DD_D_DDM_,DBBBBM_DD___DDMD,DDBBBMDDD_DDDDDD,DBBBBMDDDMDDDDMD,BBBBBDDDD_DDDDMD,BBBBBDDDD_DDDD_D,________________
167,15.592,state after change,DBBBB__BDMDDD__D,DBBBD_DDD_D_DDM_,DBBBBM_D____DDMD,DDBBBMDDD_DDDDDD,DBBBBMDDDMDDDDMD,BBBBBDDDD_DDDDMD,BBBBBDDDD_DDDD_D,________________
168,15.66,state after change,DBBBB__BDMDDD___,DDBBD__DD___DDB_,DBBBBM_D____DDMD,DDBBBMDDD_DDDDDD,DBBBBMDDDMDDDDMD,BBBBBDDDD_DDDDMD,BBBBBDDDD_DDDD_D,________________
169,15.727,state after change,DBBBB__BDMDDD__D,DDBBD__DD___DDM_,DBBBBM_D____DDMD,DDBBBMDDD_DDDDDD,DBBBBMDDDMDDDDMD,BBBBBDDDD_DDDDMD,BBBBBDDDD_DDDD_D,________________
170,15.795,state after change,DDBBB__BDMDDD__D,DDBBD__DD___DDM_,DDBBBM_D____DDMD,DDBBBMDDD_DDDDDD,DBBBBMDDDMDDDDMD,BBBBBDDDD_DDDDMD,BBBBBDDDD_DDDD_D,________________
171,15.862,state after change,DDBBB__BDMDDD__D,DDBBD_DDD___DDMD,DBBBBM_D____DDMD,DDBBBMDDD__DDDDD,DBBBBMDDDMDDDDMD,DBBBBDDDD_DDDDMD,BBBBBDDDD_DDDD_D,________________
172,15.93,state after change,DDBBB__BDMDDD___,DBBBD_DDD___DDMD,DBBBBMDD____DDMD,DBBBBMDDD__DDDDD,DBBBBMDDDMDDDDMD,DBBBBDDDD_DDDDMD,BBBBBDDDD_DDDD_D,________________
173,15.997,state after change,DDBBB_DBDMDDD__D,DBBBD_DDD_D_DDMD,DBBBBMDD____DDMD,DBBBBMDDD__DDDDD,DBBBBMDDDMDDDDMD,DBBBBDDDD_DDDDMD,BBBBBDDDD_DDDD_D,________________
174,16.065,state after change,DBBBB_DBDMDDD___,DBBBD_DDD_D_D_M_,DBBBBMDD____DDMD,DBBBBMDDD__DDDDD,DBBBBMDDDMDDDDMD,BBBBBDDDD_DDDDMD,BBBBBDDDD_DDDD_D,________________
175,16.132,state after change,DBBBB_DBDMDDD___,DBBBD_DDD_D_DDM_,DBBBBMDD____DDMD,DBBBBMDDD__DDDDD,DBBBBMDDDMDDDDMD,BBBBBDDDD_DDDDMD,BBBBBDDDD_DDDD_D,________________
176,16.2,state after change,DBBBB_DBDMDDD___,DBBBD_DDD_D_DDM_,DBBBBMDDD___DDMD,DBBBBMDDD_D_DDDD,DBBBBMDDDMDDDDMD,BBBBBDDDD_DDDDMD,BBBBBDDDD_DDDD_D,________________
177,16.335,state after change,DBBBB_DBDMDDD__D,DBBBD_DDD_D_DDM_,DBBBBMDDD___DDMD,DBBBBMDDD_DDDDDD,DBBBBMDDDMDDDDMD,BBBBBDDDD_DDDDMD,BBBBBDDDD_DDDD_D,________________
178,16.402,state after change,DBBBB_DBDMDDD__D,BBBBD_DDD_D_DDM_,DBBBBMDDD___DDMD,DBBBBMDDD_DDDDDD,BBBBBMDDDMDDDDMD,MMBBBMBDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
179,16.47,state after change,DBBBB_DBDMDDD___,BBBBD_DDD_D_DDM_,DBBBBMDDD___DDMD,DBBBBMDDD_DDDDDD,BBBBBMDDDMDDDDMD,MMBBBMBDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
180,16.537,state after change,DBBBB_DBDMDDD__D,BBBBD_DDD_D_DDM_,DBBBBMDDD___DDMD,DBBBBMDDD_D_DDDD,BBBBBMDDDMDDDDMD,MMMBBMBDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
181,16.605,state after change,DBBBB_DBDMDDD__D,DBBBD_DDD_D_DDMD,DBBBBMDDD___DDMD,DBBBBMDDD_DDDDDD,BBBBBMDDDMDDDDMD,MMBMBMDDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
182,16.672,state after change,DBBBB_DBDMDDD___,BBBBD_DDD_D_DDMD,DBBBBMDDD___DDMD,DDBBBMDDD_DDDDDD,BBBBBMDDDMDDDDMD,MMBMBMDDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
183,16.74,state after change,DBBBB_DBDMDDDD__,DBBBD_DDD_D_DDMD,DBBBBMDDD___DDMD,DDBBBMDDD_DDDDDD,BBBBBMDDDMDDDDMD,MMBBMMDDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
184,16.807,state after change,DBBBB_DBDMDDD__D,DBBBD_DDD_D_DDMD,DBBBBMDDD___DDMD,DDBBBMDDD_D_DDDD,BBBBBMDDDMDDDDMD,MMBBBMDDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
185,16.875,state after change,DBBBB_DBDMDDD__D,DBBBD_DDD_D_DDMD,DBBBBMDDD___DDMD,DDBBBMDDD___DDDD,BBBBBMDDDMDDDDMD,MMBBBMDDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
186,16.942,state after change,DBBBB_DBDMDDD__D,DBBBD_DDD_D_DDMD,DBBBBM_DD___DDMD,DDBBBMDDD___DDDD,BBBBBMDDDMDDDDMD,MMBBBMMDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
187,17.01,state after change,DBBBB_DBDMDDD___,BBBBD_DDD_D_DDMD,DBBBBM_DD___DDMD,DDBBBMDDD___DDDD,BBBBBMDDDMDDDDMD,MMBBBMDMDMDDDDMD,BBBBBDDDD_DDDD_D,________________
188,17.077,state after change,BBBBB_DBDMDDD__D,BBBBD_DDD_D_DDMD,DBBBBM_DD___DDMD,DDBBBMDDD___DDDD,BBBBBMDDDMDDDDMD,MMBBBMDMBMDDDDMD,BBBBBDDDD_DDDD_D,________________
189,17.145,state after change,BBBBB_DBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBM_DD___DDMD,DBBBBMDDD__DDDDD,BBBBBMDDDMDDDDMD,MMBBBMDDMMDDDDMD,BBBBBDDDD_DDDD_D,________________
190,17.212,state after change,BBBBB_DBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBM_D____DDMD,DDBBBMDDD_DDDDDD,BBBBBMDDDMDDDDMD,MMBBBMDDMMDDDDMD,BBBBBDDDD_DDDD_D,________________
191,17.28,state after change,BBBBB_DBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBM_DD__DDDMD,DBBBBMDDD_DDDDDD,BBBBBMDDDMDDDDMD,MMBBBMDDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
192,17.347,state after change,BBBBB_DBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBM_DD__DDDMD,DBBBBMDDD_DDDDDD,BBBBBMDDDMDDDDMD,MMBBBMDDDMMDDDMD,BBBBBDDDD_DDDD_D,________________
193,17.415,state after change,BBBBB_DBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBM_DD_DDDDMD,DBBBBMDDD_DDDDDD,BBBBBMDDDMDDDDMD,MMBBBMDDDMMMDDMD,BBBBBDDDD_DDDD_D,________________
194,17.482,state after change,BBBBB_DBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBM_DD_DDDDMD,DBBBBMDDD_DDDDDD,BBBBBMDDDMDDDDMD,MMBBBMDDDMDMDDMD,BBBBBDDDD_DDDD_D,________________
195,17.55,state after change,BBBBB_DBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBM_DD_DDDDMD,DBBBBMDDD_DDDDDD,BBBBBMDDDMDDDDMD,MMBBBMDDDMDDMBMD,BBBBBDDDD_DDD__D,________________
196,17.685,state after change,BBBBB_DBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBM_DD_DDDDMD,DBBBBMDDD_DDDDDD,BBBBBMDDDMDDDDMD,MMBBBMDDDMDDDDMD,BBBBBDDDD_DDD__D,________________
197,17.752,state after change,BBBBB_DBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBM_DD_DDDDMD,DBBBBMDDD_DDDDDD,BBBBBMDDDMDDDDMD,MMBBBMDDDMDDDDMB,BBBBBDDDD_DDD__D,________________
198,17.82,state after change,BBBBB_DBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBM_DD_DDDDMD,DBBBBMDDD_DDDDDD,BBBBBMDDDMDDDDMD,MMBBBMDDDMDDDDMB,BBBBBDDDD_DDDD_D,________________
199,17.887,state after change,BBBBB_DBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBM_DD_D_DDMD,DBBBBMDDD_DDDDDD,BBBBBMDDDMDDDDMD,MMBBBMDDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
200,17.955,state after change,BBBBB_DBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBM_DD_D_DDMD,DBBBBMDDD_DDDDDD,BBBBBMDDDM_DDDMD,MMBBBMDDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
201,18.022,state after change,BBBBB_DBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBM_DD___DDMD,DDBBBMDDD__DDDDD,BBBBBMDDDMDDDDMD,MMBBBMDDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
202,18.09,state after change,BBBBB_DBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBM_DD___DDMD,DDBBBMDDD__DDD_D,BBBBBMDDDM_DDDMD,MMBBBMDDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
203,18.157,state after change,BBBBB_DBDMDDD__D,BBBBD_DDD_D_DDMD,DBBBBM_DD___DDMD,DDBBBMDDD____D_D,BBBBBMDDDM_DDDMD,MMBBBMDDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
204,18.225,state after change,DBBBB_DBDMDDD___,BBBBD_DDD_D_DDMD,DBBBBM_DD___DDMD,DDBBBMDDD___DD__,BBBBBMDDDM_DDDMD,MMBBBMDDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
205,18.292,state after change,DBBBB_DBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBM_DD___DDMD,DDBBBMDDD___DD_D,BBBBBMDDDM_DDDMD,MMBBBMDDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
206,18.36,state after change,DBBBB_DBDMDDDD_D,BBBBD_DDD_DDDDMD,DBBBBM_DD___DDMD,DDBBBMDDD__DDD_D,BBBBBMDDDMDDDDMD,MMBBBMDDDMDDDDMD,BBBBBDDDD_DDDD_D,________________
207,18.562,state after change,DBBBB_DBDMDDDD_D,DBBBD_DDD_DDDDMD,DBBBBM_DD___DD_D,DDBBBMDDD___DD_D,DBBBBMDDDMDDDDMD,DBBBBMDDDMDDDDMD,BBBBBDDDD_DDDDMD,________________
208,18.63,state after change,DBBBB_DBDMDDDD_D,DBBBD_DDD_DDDDMD,DBBBBM_DD____D_D,DDBBBMDDD____D__,DBBBBMDDDMDDDDMD,DBBBBMDDDMDDDDMD,BBBBBDDDD_DDDDMD,________________
209,18.697,state after change,DBBBB_DBDMDDD__D,DBBBD_DDD_DDDDMD,DBBBBM_DD____D__,DDBBBMDDD____D__,DBBBBMDDDM_DDDMD,DBBBBMDDDMDDDDMD,BBBBBDDDD_DDDDMD,________________
210,18.765,state after change,DBBBB_DBDMDDD___,DBBBD_DDD__DDDMD,DBBBBM_DD____D__,DDBBBMDDD____D__,DBBBBMDDDM__DDM_,DBBBBMDDDMDDDDM_,BBBBBDDDD_DDDDMD,________________
211,18.832,state after change,DBBBB_DBDMDDD___,DBBBD_DDD__DDDMD,DBBBBMDDD_______,DDBBBMDD________,DBBBBMDDDM___DM_,DBBBBMDDDMD_DDM_,BBBBBDDD___DDDMD,________________
212,18.9,state after change,DBBBB_DBDMDDD___,DBBBD_DDD___DDMD,DDBBBM_D________,DDBBBMDD________,DDBBBMD_DM___DM_,DBBBBMDDDM__DDM_,BBBBBDDD____DDMD,________________
213,18.967,state after change,DDBBB_DBDMDDD___,DBBBD_DDD___D_MD,DDBBBM_D________,DDBBBMD_________,DDBBBMD_DM____M_,DBBBBMDDDM___DM_,BBBBBDDD____DDM_,________________
214,19.035,state after change,DDBBB_DBDMDDD___,DDBBD_DDD___D_MD,DDBBBM__________,DDBBBMD_________,DDBBBMD__M____M_,DDBBBMDDDM____M_,BBBBBDD_____DDM_,________________
215,19.102,state after change,DDBBB__DDMDDD___,DDBBD_DD______MD,DDBBBMD_________,DDBBBMD_________,DDBBBMD__M____M_,DDBBBMDD_M____M_,BBBBBDD______DM_,________________
216,19.17,state after change,DDBBB__DDMDDD___,DDBBD__D______MD,DDBBBMD_________,DDBBBMD_________,DDBBBMD__M____M_,DDBBBMDD_M____M_,DBBBBDD______DM_,________________
217,19.237,state after change,DDBBB__DDMDDD___,DDBBD__D______MD,DDBBBM__________,DDDBBBD_________,DDBBBMD__M____M_,DDBBBMD__M____M_,DDBBDDD_______M_,________________
218,19.305,state after change,DDBBB__DDMDDD___,DDBBD__D______MD,DDBBDBD_________,DDDBBBD_________,DDBBBMD__M____M_,DDDBBMD__M____M_,DDBBDDD_______M_,________________
219,19.372,state after change,DDBBB__DDMDDD___,DDBBD__D______MD,DDBBDBD_________,DDDBBBD_________,DDDBBMD__M____M_,DDDBBMD__M____M_,DDBBDDD_______M_,________________
220,19.44,state after change,DDBBB__DDMD_D___,DDBBD__D______MD,DDBBDBD_________,DDDBBBD_________,DDDBBMD__M____M_,DDDBBMD__M____M_,DDBBDDD_______M_,________________
221,19.507,state after change,DDBBB__DDBD_D___,DDBBD__D______MD,DDBBDB__________,DDDBBBD_________,DDBBBMD__M____M_,DDDBBMD__M____M_,DDBBDDD_______M_,________________
222,19.575,state after change,DDBBB__DDBD_D___,DDBBD__D______MD,DDBBDB__________,DDDBBBD_________,DDBBBMD__M____M_,DBBBBMD__M____M_,MMBBBMD__M____M_,________________
223,19.777,state after change,DDBBB__DDMD_D___,DDBBD__D______MD,DDBBDB__________,DDDBBBD_________,DDBBBMD__M____M_,DDBBBMD__M____M_,MMBMBMD__M____M_,________________
224,19.912,state after change,DDBBB__DDMD_D___,DDBBD__D______MD,DDBBDM__________,DDDBBBD_________,DDBBDMD__M____M_,DDBBBMD__M____M_,MMBBMMD__M____M_,________________
225,19.98,state after change,DDBBB__DDMD_D___,DDBBD__D______MD,DDBBDB__________,_DDBBBD_________,DDDBDBD__M____M_,DDDBBMD__M____M_,MMBBBMD__M____M_,________________
226,20.047,state after change,DDBBB__DDMD_D___,DDBBD__D______MD,DDBBDB__________,_DDBBBD_________,DDDBDBD__M____M_,DDDDBMD__M____M_,MMBBBMD__M____M_,________________
227,20.115,state after change,DDBBD__DDMD_D___,DDBBD__D______MD,DDBBDB__________,__DDBBD_________,_DDDDBD__M____M_,DDDDBMD__M____M_,MMDDDMM__M____M_,________________
228,20.182,state after change,DDBBD__DDMD_D___,DDBBD__D______MD,DDDBDB__________,__DDBBD_________,__DDDBD__M____M_,DDDDBMD__M____M_,MMDDDMDM_M____M_,________________
