step,time_s,note,R1,R2,R3,R4,R5,R6,R7,R8
24,4.657,state after change,oooooOoooOooooOo,OOoooOoooOooooOo,ooooooooooooooOo,oooooooooooooOoO,oOoooooooooooOOO,oOOOOoooOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
25,4.86,state after change,oooooOoooOooooOo,OOoooOoooOoOooOo,ooooooooooooooOo,oooooooooooooooo,oOoooooooooooOOO,oOOOOoooOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
26,5.062,state after change,oooooOoooOooooOo,OOoooOoooOoooOOo,ooooooooooooooOo,oooooooooooooooo,oOOooooooooooOoO,oOOOOoooOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
27,5.265,state after change,oOoooOoooOooooOo,OOoooOoooOoooOOo,oOooooooooooooOo,oOOooooooooooOoO,oOOOOooooOOOoOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
28,5.467,state after change,oOoooOoooOooooOo,OOoooOoooOoooOOo,oOoooooooooooOOo,oOOOoooooooooOoO,OOOOOOOoOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO
29,5.67,state after change,oOoooOoooOooooOo,OOoooOoooOoooOOo,oOooooooooooooOo,oOOooooooooooOoO,oOOOOOOoOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO
30,5.94,state after change,oOoooOoooOooooOo,OOoooOoooOoooOOo,oOoooooooooooooo,oOoooooooooooOoO,oOOOOooooOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
31,6.142,state after change,oooooOoooOooooOo,oOoooOoooOooooOo,oOoooooooooooOOo,oOoooooooooooOOo,oOOOOOoooOOOoOoO,OOOOOOOoOOOOOOOO,OOOOOOOOOOOOOOOO,OoOOOOOOOOOOOOOO
32,6.345,state after change,oOoooOoooOooooOo,oOoooOoooOooooOo,oOoooooooooooOOo,oOOooooooooooOOo,OOOOOOoooOOOoOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
33,6.547,state after change,oOoooOoooOooooOo,oOoooOoooOooooOo,oOOooooooooooOOo,oOOooooooooooOOo,OOOOOOooooOooOoO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOO
