step,time_s,turned_on_max,turned_on_bright,turned_on_dim,got_brighter,got_dim,turned_off
250,22.275,,,r3c11,,,r2c3
251,22.41,,,,,,r3c5 r7c5
252,22.477,,,,,,r1c4 r1c5 r2c4
253,22.612,,,r2c4,,,
254,22.747,,,,,,r2c4
255,22.815,,,,,r4c6(toD),
256,22.95,,,,,,r1c8 r1c13
257,23.085,,,,,,r1c7
258,23.625,,,,,r3c6(toD) r5c6(toD),
259,23.962,,,,,r1c6(toD),
